"num"	"acc"	"llr[0|0]"	"llr[0|1]"	"llr[1|0]"	"llr[1|1]"
"A11GX90QFWDLMM"	760	0.496052631578947	0	0	0.0295442756140154	-0.0295442756140153
"A14JQX7IFAICP0"	180	0.561111111111111	0.209453365628950	-0.209453365628950	-0.429684275243245	0.429684275243245
"A14Q86RX5HGCN"	20	0.95	3.32192809488736	-3.32192809488736	-2.45943161863730	2.45943161863730
"A14WWG6NKBDWGP"	20	0.9	2	-2	-2.58496250072116	2.58496250072116
"A151VN1BOY29J1"	40	0.8	1.41503749927884	-1.41503749927884	-2.16992500144231	2.16992500144231
"A153JJMSL7V3C9"	20	1	3.4594316186373	-3.4594316186373	-3.4594316186373	3.4594316186373
"A15GNVZ1EXQMYR"	20	0.85	2	-2	-1.58496250072116	1.58496250072116
"A15H21NMKA3TE4"	40	0.85	1.50250034052918	-1.50250034052918	-3.24792751344359	3.24792751344359
"A15L6WGIK3VU7N"	280	0.917857142857143	3.18057224564182	-3.18057224564182	-3.62058641045188	3.62058641045188
"A15MN5MDG4D7Q9"	40	0.925	3	-3	-2.90689059560852	2.90689059560852
"A16D3RBFGNRKL8"	60	0.916666666666667	2.62449086490779	-2.62449086490779	-4.32192809488736	4.32192809488736
"A16WH8PG6BUGSR"	20	0.95	2.58496250072116	-2.58496250072116	-3.16992500144231	3.16992500144231
"A17HNBZF5A1CWF"	80	0.85	2.85798099512757	-2.85798099512757	-2.03562390973072	2.03562390973072
"A17RPF5ZMO75GW"	20	0.9	2.32192809488736	-2.32192809488736	-2.32192809488736	2.32192809488736
"A18941IO2ZZWW6"	800	0.50625	0.096861539252589	-0.096861539252589	-0.0220263063299989	0.0220263063299989
"A18SO7XEA5K3NR"	40	0.825	2.22239242133645	-2.22239242133645	-1.80735492205760	1.80735492205760
"A19G248ZRHWWHT"	60	0.9	2.09953567355091	-2.09953567355091	-4.70043971814109	4.70043971814109
"A19IBSKBTABMR3"	40	0.85	2.80735492205760	-2.80735492205760	-1.87446911791614	1.87446911791614
"A19PMUTQXDIPLZ"	20	0.95	3.4594316186373	-3.4594316186373	-2.32192809488736	2.32192809488736
"A1APFXFJHE25EE"	20	0.9	1.87446911791614	-1.87446911791614	-3.16992500144231	3.16992500144231
"A1B0YWANQX8P6S"	20	1	3.32192809488736	-3.32192809488736	-3.58496250072116	3.58496250072116
"A1BCDJEVMCR5HD"	20	1	3.32192809488736	-3.32192809488736	-3.58496250072116	3.58496250072116
"A1BG7KLBHHCLYP"	20	0.7	1	-1	-1	1
"A1BLK8SJHCYOQK"	20	0.9	2.16992500144231	-2.16992500144231	-2.45943161863730	2.45943161863730
"A1CP0KZJS5LSIF"	20	0.9	1.87446911791614	-1.87446911791614	-3.16992500144231	3.16992500144231
"A1DCEOFAUIDY58"	100	0.91	3.87446911791614	-3.87446911791614	-2.61470984411521	2.61470984411521
"A1FESKIC2CUD4Y"	20	0.85	1.73696559416621	-1.73696559416621	-2.16992500144231	2.16992500144231
"A1FSNT6DWYDIWA"	20	1	3.4594316186373	-3.4594316186373	-3.4594316186373	3.4594316186373
"A1G42XP7E394WU"	20	0.95	2.16992500144231	-2.16992500144231	-3.58496250072116	3.58496250072116
"A1GD3MQELM1R9M"	20	0.8	2.32192809488736	-2.32192809488736	-1	1
"A1I48Z1CH0458V"	20	0.95	2.45943161863730	-2.45943161863730	-3.32192809488736	3.32192809488736
"A1IHLPH5UWHAB6"	20	0.95	3	-3	-2.32192809488736	2.32192809488736
"A1IPO1FAD1A60X"	20	0.85	1.58496250072116	-1.58496250072116	-2.32192809488736	2.32192809488736
"A1JGQL8LIRM598"	20	0.9	2.16992500144231	-2.16992500144231	-2.45943161863730	2.45943161863730
"A1JPASJWRS7QMK"	20	0.85	1.32192809488736	-1.32192809488736	-3.16992500144231	3.16992500144231
"A1K0I2MPF4CF13"	20	1	3.70043971814109	-3.70043971814109	-3.16992500144231	3.16992500144231
"A1KFIQBETMB81I"	20	1	3.16992500144231	-3.16992500144231	-3.70043971814109	3.70043971814109
"A1KS77MYC4GGZ3"	20	0.9	2.90689059560852	-2.90689059560852	-1.32192809488736	1.32192809488736
"A1L1WI1BXLLZZM"	20	0.9	1.73696559416621	-1.73696559416621	-3.32192809488736	3.32192809488736
"A1LY3NJTYW9TFF"	20	0.8	2.58496250072116	-2.58496250072116	-1.26303440583379	1.26303440583379
"A1M0SEWUJYX9K0"	40	0.875	2.58496250072116	-2.58496250072116	-2.24792751344359	2.24792751344359
"A1NCNZ96FZP9MC"	20	0.8	1.41503749927884	-1.41503749927884	-1.73696559416621	1.73696559416621
"A1NI967I2I3UXN"	20	0.8	1.13750352374994	-1.13750352374993	-2.80735492205760	2.80735492205760
"A1ORRI82WFHIKZ"	60	0.85	3.27301849440642	-3.27301849440642	-1.58496250072116	1.58496250072116
"A1Q4VUJBMY78YR"	540	0.507407407407407	0.0430687218918859	-0.043068721891886	-0.0422282353892974	0.0422282353892975
"A1QL3BQX00Y2OC"	20	0.95	2.16992500144231	-2.16992500144231	-3.58496250072116	3.58496250072116
"A1RSPO7YXD7OS"	20	0.85	1.45943161863730	-1.45943161863730	-3	3
"A1S2LOH6K9Q3Y8"	20	0.9	3.80735492205760	-3.80735492205760	-1	1
"A1SHEWULPSH627"	40	0.875	1.90689059560852	-1.90689059560852	-2.87446911791614	2.87446911791614
"A1SM3O307GMDK8"	40	0.525	0	0	-0.160464672193246	0.160464672193246
"A1UQKF8NB9FVOA"	20	0.95	3	-3	-2.70043971814109	2.70043971814109
"A1W8YY6KOEOG6"	20	0.9	2	-2	-3	3
"A1WH4J0UT8YAPQ"	20	0.85	1.58496250072116	-1.58496250072116	-2.32192809488736	2.32192809488736
"A1XUMT8PKEPRR1"	20	0.9	1.73696559416621	-1.73696559416621	-3.32192809488736	3.32192809488736
"A1XXMVPHRKUTAH"	20	0.7	1	-1	-1	1
"A1ZGDXSHUPEQD9"	40	0.9	2.48542682717024	-2.48542682717024	-3.32192809488736	3.32192809488736
"A1ZIUN0W12X1SP"	20	0.7	0.777607578663552	-0.777607578663552	-2	2
"A1ZVGUVI9TAZJX"	20	0.7	1	-1	-1	1
"A1ZXM6L5BLKBW9"	20	0.8	2.70043971814109	-2.70043971814109	-0.321928094887362	0.321928094887362
"A22CRWMZUX7FFR"	60	0.933333333333333	3.58496250072116	-3.58496250072116	-3.08746284125034	3.08746284125034
"A24KZL47I6CH4C"	20	0.75	1.16992500144231	-1.16992500144231	-1.41503749927884	1.41503749927884
"A24R6AHP7B0TLN"	20	0.9	2	-2	-3	3
"A25QX7IUS1KI5E"	20	0.8	1.37851162325373	-1.37851162325373	-2.32192809488736	2.32192809488736
"A261BBDBVRB79K"	60	0.85	1.53605290024021	-1.53605290024021	-4.58496250072116	4.58496250072116
"A27SZLZECUSPWB"	20	0.7	1	-1	-1	1
"A28W67ZXNQ3K19"	20	1	4	-4	-2.58496250072116	2.58496250072116
"A29CFIMDI0ID2V"	20	0.8	2	-2	-1.32192809488736	1.32192809488736
"A2BYHSKILYQWEU"	20	0.95	2.58496250072116	-2.58496250072116	-3.16992500144231	3.16992500144231
"A2CET0W1FJGMV"	20	0.4	0	0	0.584962500721156	-0.584962500721156
"A2CGA60V75C34Q"	20	1	3.32192809488736	-3.32192809488736	-3.58496250072116	3.58496250072116
"A2CJUR18C55EF4"	60	0.933333333333333	2.80735492205760	-2.80735492205760	-3.90689059560852	3.90689059560852
"A2ELWPBL46UA0E"	20	0.95	3.90689059560852	-3.90689059560852	-1.58496250072116	1.58496250072116
"A2G80S3EM9SDBD"	20	0.85	1.73696559416621	-1.73696559416621	-2.16992500144231	2.16992500144231
"A2HNP1YL1IBFMU"	20	0.8	3	-3	-1	1
"A2K5ICP43ML4PW"	80	0.9125	2.62449086490779	-2.62449086490779	-3.66296501272243	3.66296501272243
"A2KST2DIWAB8Z4"	20	0.9	2.58496250072116	-2.58496250072116	-2	2
"A2LL0VL0D92ZL1"	20	1	2.80735492205760	-2.80735492205760	-3.90689059560852	3.90689059560852
"A2MN1MDFIH9CEW"	20	0.75	1.32192809488736	-1.32192809488736	-1.22239242133645	1.22239242133645
"A2NCIFVGIZESDF"	60	0.816666666666667	2.26303440583379	-2.26303440583379	-1.75488750216347	1.75488750216347
"A2O3686VJEDHBU"	20	0.85	1.58496250072116	-1.58496250072116	-2.32192809488736	2.32192809488736
"A2OOM1MEGTT1MJ"	20	0.9	1.73696559416621	-1.73696559416621	-3.32192809488736	3.32192809488736
"A2PAV7JATODL20"	20	0.7	1.58496250072116	-1.58496250072116	-0.485426827170242	0.485426827170242
"A2QH0Y8GLQ090K"	20	0.6	0.289506617194985	-0.289506617194985	-1.58496250072116	1.58496250072116
"A2QPX2MS844TYJ"	20	0.5	0	0	0	0
"A2RV3FIO3IAZS"	40	0.6	0.584962500721156	-0.584962500721156	-0.459431618637297	0.459431618637297
"A2TFRXLFNLRE10"	20	1	3.32192809488736	-3.32192809488736	-3.58496250072116	3.58496250072116
"A2VKQM4ESHIS95"	40	0.775	1.90689059560852	-1.90689059560852	-1.36257007938471	1.36257007938471
"A2XAB2SZD9816Y"	20	0.9	1.80735492205760	-1.80735492205760	-2.70043971814109	2.70043971814109
"A2XRLW6EWPXFZJ"	20	0.65	0.415037499278844	-0.415037499278844	-1.22239242133645	1.22239242133645
"A2YRAPAV1WNYWB"	20	0.6	0.321928094887362	-0.321928094887362	-0.584962500721156	0.584962500721156
"A30DASEJS2ZINX"	20	0.9	2.58496250072116	-2.58496250072116	-2	2
"A32D1CITAL0BAY"	20	1	3.32192809488736	-3.32192809488736	-3.58496250072116	3.58496250072116
"A32QZGM6C949ZI"	20	0.95	3	-3	-2.32192809488736	2.32192809488736
"A34AZLVR1033TZ"	20	0.9	2	-2	-3	3
"A34JFTRXZ9U33N"	20	0.85	1.80735492205760	-1.80735492205760	-2	2
"A358E8MG0GCC37"	20	0.75	1.58496250072116	-1.58496250072116	-1.13750352374993	1.13750352374994
"A366APTH5ECXG1"	20	0.85	1.87446911791614	-1.87446911791614	-2	2
"A37BYUF88E7RZ0"	20	0.7	1	-1	-1	1
"A37C370E0K9GDI"	20	0.7	2	-2	-0.777607578663552	0.777607578663552
"A37R966EV2XC6Y"	20	0.95	3.16992500144231	-3.16992500144231	-1.58496250072116	1.58496250072116
"A37XSAE8QVBVGS"	20	0.9	3	-3	-2	2
"A389Z7A60D4L8I"	20	0.85	1.58496250072116	-1.58496250072116	-2.11547721741994	2.11547721741994
"A38D94OEB20V2S"	20	0.8	0.84799690655495	-0.84799690655495	-3.16992500144231	3.16992500144231
"A39APWH62XBLR9"	60	0.833333333333333	1.53051471669878	-1.53051471669878	-3.11547721741994	3.11547721741994
"A3B9CRWYGCJ1GJ"	20	0.75	0.84799690655495	-0.84799690655495	-2	2
"A3BMXJJ6MRE5C1"	20	0.9	1.87446911791614	-1.87446911791614	-3.16992500144231	3.16992500144231
"A3BY5HXZIM04PN"	20	0.8	1.13750352374994	-1.13750352374993	-2.80735492205760	2.80735492205760
"A3EX8IW960QJ3I"	40	0.85	2.58496250072116	-2.58496250072116	-1.84799690655495	1.84799690655495
"A3FVCQZ8DA0UV9"	20	0.95	3.16992500144231	-3.16992500144231	-1.58496250072116	1.58496250072116
"A3HR7E5S52PME5"	20	1	3.58496250072116	-3.58496250072116	-3.32192809488736	3.32192809488736
"A3JEUXPU5NEHXR"	40	0.825	1.58496250072116	-1.58496250072116	-2.50250034052918	2.50250034052918
"A3KQFLPDA52RE"	20	0.85	2	-2	-1.80735492205760	1.80735492205760
"A3LMXIKF4NPSBN"	20	0.9	2.16992500144231	-2.16992500144231	-2.45943161863730	2.45943161863730
"A3MWTGQFPYGGW6"	20	0.85	3	-3	-1.45943161863730	1.45943161863730
"A3N3ESBU769SMG"	20	0.5	-1.22239242133645	1.22239242133645	-0.84799690655495	0.84799690655495
"A3NWTTG6VC0N8S"	20	0.8	0.84799690655495	-0.84799690655495	-3.16992500144231	3.16992500144231
"A3ODY8U1EQDB8S"	20	0.9	2.16992500144231	-2.16992500144231	-2.45943161863730	2.45943161863730
"A3Q9V4M3V0L77A"	40	0.725	0.678071905112638	-0.678071905112638	-2.32192809488736	2.32192809488736
"A3RW8TMXMQ7I6B"	20	0.65	0.807354922057604	-0.807354922057604	-0.678071905112638	0.678071905112638
"A3SJOKB3ZHQDQ0"	20	0.95	2.32192809488736	-2.32192809488736	-3.4594316186373	3.4594316186373
"A3TBGB7VGRRYCT"	20	0.9	2.16992500144231	-2.16992500144231	-2.45943161863730	2.45943161863730
"A3U7T47F498T1P"	20	0.9	2.32192809488736	-2.32192809488736	-2.32192809488736	2.32192809488736
"A3VMJIW0DP7007"	20	0.8	2.58496250072116	-2.58496250072116	-1.26303440583379	1.26303440583379
"A5M1CDOBQXIND"	20	0.9	1.87446911791614	-1.87446911791614	-3.16992500144231	3.16992500144231
"A5SQMVCBLLR10"	60	0.816666666666667	1.18442457113743	-1.18442457113743	-3.70043971814109	3.70043971814109
"A5TYBSH7AYMK7"	20	0.9	2.32192809488736	-2.32192809488736	-2.32192809488736	2.32192809488736
"A7B3KMBP39QWF"	20	0.85	1.73696559416621	-1.73696559416621	-2.16992500144231	2.16992500144231
"A99F7DB1MDLVK"	20	0.7	2	-2	0.321928094887362	-0.321928094887362
"A9YV82C0R0HHU"	20	0.95	2.58496250072116	-2.58496250072116	-3.16992500144231	3.16992500144231
"AADS3JU8O57J3"	20	0.85	0.807354922057604	-0.807354922057604	-3.58496250072116	3.58496250072116
"AD1BB9AC3IZXQ"	20	1	3.70043971814109	-3.70043971814109	-3.16992500144231	3.16992500144231
"AD4FDBEA9GGFE"	20	0.85	1.87446911791614	-1.87446911791614	-2	2
"ADAGUJNWMEPT6"	20	0.75	0.263034405833794	-0.263034405833794	-2.45943161863730	2.45943161863730
"ADMPXNDZ8F6QA"	20	0.8	1.13750352374994	-1.13750352374993	-2.80735492205760	2.80735492205760
"ADX3CN405XAMF"	20	0.7	0.514573172829758	-0.514573172829758	-2.58496250072116	2.58496250072116
"AEX5NCH03LWSG"	420	0.852380952380952	2.16188768237689	-2.16188768237689	-2.91488338636205	2.91488338636205
"AFZECAKP08NZA"	20	0.9	1.87446911791614	-1.87446911791614	-3.16992500144231	3.16992500144231
"AH02ZNR6AGX8J"	20	0.9	2.80735492205760	-2.80735492205760	-2.11547721741994	2.11547721741994
"AHFO0JTF5WO8J"	80	0.8	1.47804729680464	-1.47804729680464	-2.75488750216347	2.75488750216347
"AHN23PP23PHZK"	20	0.9	4	-4	-0.415037499278844	0.415037499278844
"AHPSMRLKAEJV"	80	0.8125	1.85414913353655	-1.85414913353655	-2.32192809488736	2.32192809488736
"AJ9MI2GEX5R28"	20	0.95	2.45943161863730	-2.45943161863730	-3.32192809488736	3.32192809488736
"AJR1HBQLBT2UT"	40	0.95	2.58496250072116	-2.58496250072116	-4.45943161863730	4.4594316186373
"AK7YVYGMIF6T0"	20	0.85	2	-2	-1.87446911791614	1.87446911791614
"AKTL5L2PJ2XCH"	20	0.85	1.16992500144231	-1.16992500144231	-3.32192809488736	3.32192809488736
"AKZ9MWLHRE34O"	20	0.9	3	-3	-2	2
"AM367N2MAMQ15"	40	0.925	3.11547721741994	-3.11547721741994	-2.70043971814109	2.70043971814109
"AMO4BPP31P1QA"	40	0.9	2.07038932789140	-2.07038932789140	-4.08746284125034	4.08746284125034
"AMVOSOXRSRMHD"	20	0.9	3.32192809488736	-3.32192809488736	-1.73696559416621	1.73696559416621
"AO49JS7KNRQ5A"	20	0.85	1.41503749927884	-1.41503749927884	-2.45943161863730	2.45943161863730
"APOA130JRSXAV"	20	0.75	0.87446911791614	-0.87446911791614	-2.58496250072116	2.58496250072116
"AQ1WI10VDQ7FE"	20	0.85	1.73696559416621	-1.73696559416621	-2.16992500144231	2.16992500144231
"AQ6JP5VBCTYDN"	20	0.75	1	-1	-1.45943161863730	1.45943161863730
"AS51Z6DBWM9JM"	60	0.65	0.662965012722429	-0.662965012722429	-1	1
"AS7QSZPN28VFT"	20	0.9	2.80735492205760	-2.80735492205760	-2.11547721741994	2.11547721741994
"ATJQTHNPVWH9"	20	0.85	2.16992500144231	-2.16992500144231	-1.73696559416621	1.73696559416621
"ATP8SOHDM9QOY"	140	0.885714285714286	2.23703919730085	-2.23703919730085	-3.90689059560852	3.90689059560852
"AVIVV0WYFK6EJ"	20	0.9	1.58496250072116	-1.58496250072116	-3.4594316186373	3.4594316186373
"AWK3LFAT0IHP3"	20	0.8	1	-1	-2.32192809488736	2.32192809488736
"AX2XQPTZ1H49C"	20	0.95	2.45943161863730	-2.45943161863730	-3.32192809488736	3.32192809488736
"AXBQF8RALCIGV"	700	0.575714285714286	0.58944989171347	-0.58944989171347	-0.34577483684173	0.34577483684173
"AYZHZZZE0UP0A"	20	0.6	0.415037499278844	-0.415037499278844	-0.584962500721156	0.584962500721156
"AZG7NPU1UZMPM"	20	0.85	1.58496250072116	-1.58496250072116	-2.80735492205760	2.80735492205760
"AZKV0OXDZVDYR"	20	0.6	1.58496250072116	-1.58496250072116	-0.289506617194985	0.289506617194985
